club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
366,real-valladolid,Real Valladolid,ES1,52.25,35,27.6,9,25.7,4,Estadio Nuevo José Zorrilla,27618,£-1.80m,Sergio,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
1533,sd-eibar,Sd Eibar,ES1,19.26,20,28.4,4,20.0,0,Ipurua,8164,£-990Th.,José Luis Mendilibar,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
931,fc-fulham,Fc Fulham,GB1,148.55,28,27.5,21,75.0,13,Craven Cottage,19000,£-11.97m,Scott Parker,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931
28643,waasland-beveren,Waasland Beveren,BE1,9.2,25,24.7,12,48.0,1,Freethielstadion,13290,+£900Th.,Nicky Hayen,https://www.transfermarkt.co.uk/waasland-beveren/startseite/verein/28643
29228,royal-excel-mouscron,Royal Excel Mouscron,BE1,4.39,21,26.1,14,66.7,3,Le Canonnier,10830,+-0,Fernando Da Cruz,https://www.transfermarkt.co.uk/royal-excel-mouscron/startseite/verein/29228
1426,vvv-venlo,Vvv Venlo,NL1,6.35,20,24.1,6,30.0,1,Covebo Stadion - De Koel,8000,+-0,Hans de Koning,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
1283,fc-emmen,Fc Emmen,NL1,7.16,23,23.9,6,26.1,3,De Oude Meerdijk,8309,+£180Th.,Dick Lukkien,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283
1268,ado-den-haag,Ado Den Haag,NL1,3.92,16,25.7,2,12.5,0,Cars Jeans Stadion,15000,+£540Th.,Aleksandar Rankovic,https://www.transfermarkt.co.uk/ado-den-haag/startseite/verein/1268
33,fc-schalke-04,Fc Schalke 04,L1,73.69,31,25.3,17,54.8,8,Veltins-Arena,62271,+£27.86m,David Wagner,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
23611,olimpik-donetsk,Olimpik Donetsk,UKR1,428.0,20,27.1,0,,0,NTK Bannikova,1678,+-0,Igor Klymovskyi,https://www.transfermarkt.co.uk/olimpik-donetsk/startseite/verein/23611
2999,hamilton-academical-fc,Hamilton Academical Fc,SC1,5.4,28,23.1,4,14.3,1,Fountain of Youth Stadium,6018,+-0,Brian Rice,https://www.transfermarkt.co.uk/hamilton-academical-fc/startseite/verein/2999
868,mke-ankaragucu,Mke Ankaragucu,TR1,10.91,40,25.6,12,30.0,2,Eryaman Stadyumu,20560,+-0,Fuat Capa,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
820,genclerbirligi-ankara,Genclerbirligi Ankara,TR1,6.44,30,24.5,6,20.0,0,Eryaman Stadyumu,20560,+-0,Mert Nobre,https://www.transfermarkt.co.uk/genclerbirligi-ankara/startseite/verein/820
39722,buyuksehir-belediye-erzurumspor,Buyuksehir Belediye Erzurumspor,TR1,4.01,18,27.7,5,27.8,2,Erzurum Kazım Karabekir,23700,+-0,Mehmet Özdilek,https://www.transfermarkt.co.uk/buyuksehir-belediye-erzurumspor/startseite/verein/39722
833,denizlispor,Denizlispor,TR1,2.0,14,22.2,1,7.1,0,Denizli Atatürk Stadı,18745,+-0,Robert Prosinecki,https://www.transfermarkt.co.uk/denizlispor/startseite/verein/833
4083,fc-crotone,Fc Crotone,IT1,25.58,26,24.7,12,46.2,5,Ezio Scida,16640,£-1.13m,Giovanni Stroppa,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
4171,benevento-calcio,Benevento Calcio,IT1,23.78,32,25.7,12,37.5,5,Ciro Vigorito,16867,+£720Th.,Filippo Inzaghi,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
4603,ae-larisa,Ae Larisa,GR1,6.26,35,24.4,8,22.9,2,Stadio Alkazar,13108,+£95Th.,Michalis Grigoriou,https://www.transfermarkt.co.uk/ae-larisa/startseite/verein/4603
130,parma-calcio-1913,Parma Calcio 1913,IT1,92.3,39,26.1,24,61.5,7,Ennio Tardini,22352,£-24.39m,Roberto D'Aversa,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
2553,kilmarnock-fc,Kilmarnock Fc,SC1,4.88,22,26.8,8,36.4,0,"BBSP Stadium, Rugby Park",18128,+-0,Alex Dyer,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553
369,lyngby-bk,Lyngby Bk,DK1,5.06,26,24.4,3,11.5,1,Lyngby Stadion,10000,+£1.08m,Christian Nielsen,https://www.transfermarkt.co.uk/lyngby-bk/startseite/verein/369
2414,ac-horsens,Ac Horsens,DK1,4.55,21,24.8,4,19.0,1,Casa Arena Horsens,10400,+-0,Bo Henriksen,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414
27,fc-bayern-munchen,Fc Bayern Munchen,L1,756.45,26,26.1,15,57.7,19,Allianz Arena,75024,£-51.75m,Konstantin Berodt,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
10,arminia-bielefeld,Arminia Bielefeld,L1,47.48,24,25.0,15,62.5,5,SchücoArena,26515,£-6.75m,Frank Kramer,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
583,fc-paris-saint-germain,Fc Paris Saint Germain,FR1,834.93,37,26.1,25,67.6,18,Parc des Princes,49691,£-64.80m,Mauricio Pochettino,https://www.transfermarkt.co.uk/fc-paris-saint-germain/startseite/verein/583
3524,clermont-foot-63,Clermont Foot 63,FR1,35.6,28,26.6,15,53.6,8,Stade Gabriel-Montpied,13000,+-0,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
2715,rfc-seraing,Rfc Seraing,BE1,10.17,28,23.9,16,57.1,5,Stade du Paray,6744,+-0,Jordi Condom,https://www.transfermarkt.co.uk/rfc-seraing/startseite/verein/2715
